Team name,Profile team,Wiki URL,Region,Country,Track,Kind,Section,Application
HiZJU-China,https://old.igem.org/Team.cgi?team_id=4761,https://2023.igem.wiki/hizju-china,Asia,China,Therapeutics,Collegiate,under,Accepted
HK-Joint-School,https://old.igem.org/Team.cgi?team_id=4794,https://2023.igem.wiki/hk-joint-school,Asia,Hong Kong,High School,High School,hs,Accepted
HK-SKHLPSS,https://old.igem.org/Team.cgi?team_id=4837,https://2023.igem.wiki/hk-skhlpss,Asia,Hong Kong,High School,High School,hs,Accepted
HKGTC,https://old.igem.org/Team.cgi?team_id=4946,https://2023.igem.wiki/hkgtc,Asia,Hong Kong,High School,High School,hs,Accepted
HKPOLYU,https://old.igem.org/Team.cgi?team_id=4774,https://2023.igem.wiki/hkpolyu,Asia,Hong Kong,Therapeutics,Collegiate,over,Accepted
HKSSC,https://old.igem.org/Team.cgi?team_id=4823,https://2023.igem.wiki/hkssc,Asia,Hong Kong,High School,High School,hs,Accepted
HKU-HongKong,https://old.igem.org/Team.cgi?team_id=4696,https://2023.igem.wiki/hku-hongkong,Asia,Hong Kong,Therapeutics,Collegiate,under,Accepted
HKUST,https://old.igem.org/Team.cgi?team_id=4725,https://2023.igem.wiki/hkust,Asia,Hong Kong,Food &amp; Nutrition,Collegiate,over,Accepted
HNU-China,https://old.igem.org/Team.cgi?team_id=4752,https://2023.igem.wiki/hnu-china,Asia,China,Agriculture,Collegiate,under,Accepted
HongKong-CUHK,https://old.igem.org/Team.cgi?team_id=4867,https://2023.igem.wiki/hongkong-cuhk,Asia,Hong Kong,Bioremediation,Collegiate,under,Accepted
HongKong-JSS,https://old.igem.org/Team.cgi?team_id=4813,https://2023.igem.wiki/hongkong-jss,Asia,Hong Kong,High School,High School,hs,Accepted
HongKong-PuiChing,https://old.igem.org/Team.cgi?team_id=4670,https://2023.igem.wiki/hongkong-puiching,Asia,Hong Kong,High School,High School,hs,Accepted
Hopkins,https://old.igem.org/Team.cgi?team_id=4676,https://2023.igem.wiki/hopkins,North America,United States,Biomanufacturing,Collegiate,under,Accepted
HS-China,https://old.igem.org/Team.cgi?team_id=4664,https://2023.igem.wiki/hs-china,Asia,China,High School,Commercial,hs,Accepted
HS-Shanghai,https://old.igem.org/Team.cgi?team_id=4698,https://2023.igem.wiki/hs-shanghai,Asia,China,High School,Commercial,hs,Accepted
HSASNU,https://old.igem.org/Team.cgi?team_id=4677,https://2023.igem.wiki/hsasnu,Asia,China,High School,High School,hs,Accepted
HUBU-China,https://old.igem.org/Team.cgi?team_id=4666,https://2023.igem.wiki/hubu-china,Asia,China,Climate Crisis,Collegiate,over,Accepted
HUBU-HUBEI-CHINA,https://old.igem.org/Team.cgi?team_id=4912,https://2023.igem.wiki/hubu-hubei-china,Asia,China,Biomanufacturing,Collegiate,under,Accepted
HUBU-SKY-China,https://old.igem.org/Team.cgi?team_id=4927,https://2023.igem.wiki/hubu-sky-china,Asia,China,Environment,Collegiate,under,Accepted
HUBU-WUHAN-CHINA,https://old.igem.org/Team.cgi?team_id=4832,https://2023.igem.wiki/hubu-wuhan-china,Asia,China,Agriculture,Collegiate,under,Accepted
HUST-China,https://old.igem.org/Team.cgi?team_id=4595,https://2023.igem.wiki/hust-china,Asia,China,Climate Crisis,Collegiate,under,Accepted
